DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2021-04-12 08:09:05,30,376,0,286.032,538.65,188,114,21432,0,0.785,1.122,284.795
2021-04-12 08:09:07,30,863,0,89.889,151.023,431.5,114,49191,0,0.048,0.226,89.483
2021-04-12 08:09:09,30,1013,0,59.041,29.597,506.5,114.378,57932.5,0,0.067,0.241,58.698
2021-04-12 08:09:11,30,1050,0,56.903,25.127,525,115,60375,0,0.003,0.168,56.64
2021-04-12 08:09:13,30,999,0,59.34,27.59,499.5,115,57442.5,0,0.045,0.191,59.113
2021-04-12 08:09:15,30,1012,0,58.797,28.307,506,115,58190,0,0.005,0.125,58.55
2021-04-12 08:09:17,30,1046,0,57.328,33.207,523,115,60145,0,0.025,0.144,57.097
2021-04-12 08:09:19,30,1041,0,57.684,34.491,520.5,115,59857.5,0,0.028,0.13,57.45
2021-04-12 08:09:21,30,1080,0,55.218,30.538,540,115,62100,0,0.028,0.151,55.011
2021-04-12 08:09:23,30,1056,0,56.756,35.728,528,115,60720,0,0.032,0.152,56.573
2021-04-12 08:09:25,30,1072,0,55.892,23.692,536,115,61640,0,0.006,0.139,55.696
2021-04-12 08:09:27,30,773,0,57.507,31.503,386.5,115,44447.5,0,0.01,0.155,57.336
2021-04-12 08:09:29,30,981,0,60.681,42.818,490.5,115,56407.5,0,0.036,0.165,60.468
2021-04-12 08:09:31,30,872,0,64.742,38.833,436,115,50140,0,0.007,0.148,64.553
2021-04-12 08:09:33,30,649,0,93.729,85.451,324.5,115,37317.5,0,0.069,0.234,93.508
2021-04-12 08:09:35,30,606,0,101.554,92.057,303,115,34845,0,0.008,0.157,101.345
2021-04-12 08:09:37,30,916,0,66.561,50.6,458,115,52670,0,0.013,0.13,66.381
2021-04-12 08:09:39,30,844,0,70.802,49.697,422,115,48530,0,0.041,0.188,70.597
2021-04-12 08:09:41,30,937,0,64.116,40.831,468.5,115,53877.5,0,0.016,0.149,63.957
2021-04-12 08:09:43,30,1069,0,55.649,26.311,534.5,115,61467.5,0,0.038,0.144,55.509
2021-04-12 08:09:45,30,1024,0,58.693,36.478,512,115,58880,0,0.009,0.139,58.542
2021-04-12 08:09:47,30,757,0,78.997,69.185,378.5,115,43527.5,0,0.032,0.197,78.851
2021-04-12 08:09:49,30,1013,0,58.735,32.67,506.5,115,58247.5,0,0.004,0.129,58.572
2021-04-12 08:09:51,30,862,0,68.407,39.484,431,115,49565,0,0.021,0.136,68.208
2021-04-12 08:09:53,30,710,0,85.49,53.044,355,115,40825,0,0.004,0.11,85.345
2021-04-12 08:09:55,30,688,0,86.635,51.522,344,115,39560,0,0.003,0.119,86.493
2021-04-12 08:09:57,30,561,0,103.747,71.17,280.5,115,32257.5,0,0.032,0.134,103.592
2021-04-12 08:09:59,30,593,0,102.894,67.878,296.5,115,34097.5,0,0,0.098,102.75
2021-04-12 08:10:01,30,633,0,94.814,59.838,316.5,115,36397.5,0,0.022,0.15,94.64
2021-04-12 08:10:03,30,660,0,91,56.488,330,115,37950,0,0.015,0.115,90.864
2021-04-12 08:10:05,30,775,0,77.966,50.003,387.5,115,44562.5,0,0.01,0.148,77.826
2021-04-12 08:10:07,30,695,0,86.043,54.18,347.5,115,39962.5,0,0.019,0.141,85.892
2021-04-12 08:10:09,30,668,0,89.207,52.282,334,115,38410,0,0.015,0.117,89.06
2021-04-12 08:10:11,30,1011,0,59.837,33.719,505.5,115,58132.5,0,0.008,0.125,59.662
2021-04-12 08:10:13,30,1048,0,57.25,31.675,524,115,60260,0,0.004,0.108,57.108
2021-04-12 08:10:15,30,746,0,79.303,57.147,373,115,42895,0,0.017,0.155,79.162
2021-04-12 08:10:17,30,1047,0,57.783,31.551,523.5,115,60202.5,0,0.006,0.154,57.646
2021-04-12 08:10:19,30,824,0,71.45,54.468,412,115,47380,0,0.004,0.149,71.279
2021-04-12 08:10:21,30,926,0,65.685,48.626,463,115,53245,0,0.012,0.135,65.543
2021-04-12 08:10:23,30,967,0,61.74,38.86,483.5,115,55602.5,0,0.031,0.169,61.603
2021-04-12 08:10:25,30,1050,0,56.6,30.978,525,115,60375,0,0.003,0.108,56.498
2021-04-12 08:10:27,30,1076,0,56.331,28.269,538,115,61870,0,0.011,0.107,56.207
2021-04-12 08:10:29,30,1084,0,54.828,31.044,542,115,62330,0,0.01,0.118,54.729
2021-04-12 08:10:31,30,1077,0,55.58,29.499,538.5,115,61927.5,0,0.009,0.101,55.478
2021-04-12 08:10:33,30,946,0,63.392,41.685,473,115,54395,0,0.016,0.127,63.283
2021-04-12 08:10:35,30,971,0,60.985,33.492,485.5,115,55832.5,0,0.001,0.112,60.869
2021-04-12 08:10:37,30,532,0,114.291,151.798,266,115,30590,0,0.019,0.135,114.19
2021-04-12 08:10:39,30,966,0,61.783,37.63,483,115,55545,0,0,0.096,61.681
2021-04-12 08:10:41,30,1133,0,52.671,25.821,566.5,115,65147.5,0,0.006,0.102,52.545
2021-04-12 08:10:43,30,1060,0,56.82,38.387,530,115,60950,0,0.007,0.115,56.722
2021-04-12 08:10:45,30,918,0,62.456,41.094,459,115,52785,0,0.007,0.142,62.355
2021-04-12 08:10:47,30,260,0,67.735,48.707,130,115,14950,0,0.004,0.119,67.619
2021-04-12 08:10:49,30,865,0,137.032,435.421,432.5,115,49737.5,0,0.007,0.124,136.914
2021-04-12 08:10:51,30,1083,0,55.367,35.138,541.5,115,62272.5,0,0.006,0.109,55.26
2021-04-12 08:10:53,30,1137,0,52.76,23.477,568.5,115,65377.5,0,0.015,0.095,52.651
2021-04-12 08:10:55,30,1026,0,58.006,33.567,513,115,58995,0,0.01,0.127,57.888
